date,city,tmax_f,tmin_f,energy_mwh
2025-04-05,Chicago,34.2,32.7,1892641
2025-04-05,Chicago,34.2,32.7,1892256
2025-04-05,Chicago,34.2,32.7,1892491
2025-04-05,Chicago,34.2,32.7,1892310
2025-04-05,Chicago,34.2,32.7,1892641
2025-04-05,Chicago,34.2,32.7,1821913
2025-04-05,Chicago,34.2,32.7,1821916
2025-04-05,Chicago,34.2,32.7,1822164
2025-04-05,Chicago,34.2,32.7,1821949
2025-04-05,Chicago,34.2,32.7,1821913
2025-04-05,Chicago,34.2,32.7,2014582
2025-04-05,Chicago,34.2,32.7,2016032
2025-04-05,Chicago,34.2,32.7,2018366
2025-04-05,Chicago,34.2,32.7,2014942
2025-04-05,Chicago,34.2,32.7,2014582
2025-04-05,Chicago,34.2,32.7,121940
2025-04-05,Chicago,34.2,32.7,123776
2025-04-05,Chicago,34.2,32.7,125875
2025-04-05,Chicago,34.2,32.7,122632
2025-04-05,Chicago,34.2,32.7,121940
2025-04-05,Houston,37.1,34.5,1142875
2025-04-05,Houston,37.1,34.5,1148242
2025-04-05,Houston,37.1,34.5,1151821
2025-04-05,Houston,37.1,34.5,1145293
2025-04-05,Houston,37.1,34.5,1142875
2025-04-05,Houston,37.1,34.5,1164940
2025-04-05,Houston,37.1,34.5,1170171
2025-04-05,Houston,37.1,34.5,1171174
2025-04-05,Houston,37.1,34.5,1167450
2025-04-05,Houston,37.1,34.5,1164940
2025-04-05,Houston,37.1,34.5,1142919
2025-04-05,Houston,37.1,34.5,1148115
2025-04-05,Houston,37.1,34.5,1151503
2025-04-05,Houston,37.1,34.5,1145462
2025-04-05,Houston,37.1,34.5,1142919
2025-04-05,Houston,37.1,34.5,48
2025-04-05,Houston,37.1,34.5,-125
2025-04-05,Houston,37.1,34.5,-315
2025-04-05,Houston,37.1,34.5,173
2025-04-05,Houston,37.1,34.5,48
2025-04-05,New York,34.7,33.1,356251
2025-04-05,New York,34.7,33.1,355540
2025-04-05,New York,34.7,33.1,355164
2025-04-05,New York,34.7,33.1,355941
2025-04-05,New York,34.7,33.1,356251
2025-04-05,New York,34.7,33.1,346415
2025-04-05,New York,34.7,33.1,346504
2025-04-05,New York,34.7,33.1,346541
2025-04-05,New York,34.7,33.1,346472
2025-04-05,New York,34.7,33.1,346415
2025-04-05,New York,34.7,33.1,317107
2025-04-05,New York,34.7,33.1,316706
